area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,1 BHK,Parvati Darshan,,400,1,1,25
Super built-up  Area,Ready To Move,2 BHK,Pashan,,1200,2,1,70
Super built-up  Area,18-May,2 BHK,Paud Road,,992,2,2,24.8
Built-up  Area,Ready To Move,2 BHK,Pirangut,,950,2,3,57
Plot  Area,Ready To Move,4 Bedroom,Prabhat Road,,1500,4,3,185
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,Krine O,1200,2,1,62
Built-up  Area,Ready To Move,3 BHK,Rasta Peth,Srg Bnc,1735,3,2,70
Built-up  Area,Ready To Move,3 BHK,Raviwar Peth,SNe 2ev,1750,3,3,172
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,Ammesss,1009,2,2,56
Super built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,BrardCo,1470,2,3,102
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,,1527,3,2,115
Built-up  Area,Ready To Move,2 BHK,Sasson Road,Juoryma,985,2,1,45
Built-up  Area,Ready To Move,4 Bedroom,Satara Road,,3300,4,2,135
Super built-up  Area,18-Jun,2 BHK,Senapati Bapat Road,Asarqz ,1277,2,1,77
Super built-up  Area,18-May,2 BHK,Shaniwar Peth,CMoneoo,1100,2,1,62
Super built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,Brony H,1820,3,2,140
Super built-up  Area,Ready To Move,4 BHK,Shukrawar Peth,,1530,3,3,87
Super built-up  Area,Ready To Move,3 BHK,Sinhagad Road,PrdgeSo,1886,3,2,205
Plot  Area,Ready To Move,3 Bedroom,Somwar Peth,,1200,2,0,190
Super built-up  Area,Ready To Move,3 BHK,Swargate,BrdgeNo,1880,4,2,110
Super built-up  Area,Ready To Move,2 BHK,Tilak Road,Shateor,1255,2,2,52.35
Super built-up  Area,21-Dec,2 BHK,Uruli Devachi,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,,1140,2,2,46
Built-up  Area,18-Aug,2 BHK,Wadgaon Sheri,Sryalan,1025,2,1,29.6
Built-up  Area,Ready To Move,4 Bedroom,Viman Nagar,ArsiaEx,3453,4,2,247
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,,1490,2,2,59.6
Plot  Area,Ready To Move,4 Bedroom,Wagholi,,1200,4,2,165
Super built-up  Area,Ready To Move,3 BHK,Wakadewadi,Adeatlm,1850,3,2,140
Super built-up  Area,Ready To Move,2 BHK,Wanowrie,,1250,2,1,78
Super built-up  Area,Ready To Move,4 BHK,Warje,,2400,3,1,108
Super built-up  Area,Ready To Move,4 BHK,Yerawada,Soianal,3522,5,3,716
Super built-up  Area,18-Dec,2 BHK,Alandi Road,Vaniai ,1244,2,2,88
Plot  Area,Ready To Move,4 Bedroom,Ambegaon Budruk,,623,4,1,75
Super built-up  Area,18-Dec,2 BHK,Anandnagar,DSestSt,1025,2,1,28.57
Super built-up  Area,Ready To Move,2 BHK,Aundh,DSlesSp,1034,2,1,38
Super built-up  Area,18-Jan,3 BHK,Aundh Road,DSestSt,1191,2,2,33.34
Super built-up  Area,Ready To Move,3 BHK,Balaji Nagar,Maowsve,1719,3,2,71
Super built-up  Area,Ready To Move,2 BHK,Baner,,1035,2,1,39.33
Plot  Area,Ready To Move,4 Bedroom,Baner road,,1500,3,2,230
Super built-up  Area,18-Dec,3 BHK,Bhandarkar Road,SJerse ,1470,2,2,84.22
Super built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1140,2,1,50.66
Super built-up  Area,Ready To Move,3 BHK,Bibvewadi,SosicCl,1752.12,3,2,125
Plot  Area,Ready To Move,6 Bedroom,Bopodi,,600,6,2,80
Plot  Area,Ready To Move,4 Bedroom,Budhwar Peth,,600,3,1,84
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,Brica E,2990,3,2,170
Super built-up  Area,Ready To Move,3 BHK,Camp,SNity S,1660,3,2,85
Super built-up  Area,Ready To Move,3 BHK,Chandan Nagar,Pao 3ow,1275,3,3,63.43
Super built-up  Area,18-Jun,3 BHK,Dapodi,,1365,3,1,52.81
Plot  Area,Ready To Move,3 Bedroom,Deccan Gymkhana,,1200,2,0,90
Super built-up  Area,Ready To Move,3 BHK,Dehu Road,,2546,3,,170
Super built-up  Area,20-Oct,3 BHK,Dhankawadi,Brens7 ,1392,3,1,69.46
Super built-up  Area,18-Mar,2 BHK,Dhayari Phata,Asarqz ,1245,2,1,59.76
Built-up  Area,Ready To Move,5 Bedroom,Dhole Patil Road,,1200,3,1,65
Super built-up  Area,Ready To Move,2 BHK,Erandwane,IBityin,1162,2,2,64.08
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,EAvarum,1476,2,1,73
Built-up  Area,Ready To Move,1 BHK,Fergusson College Road,,700,1,1,21.5
Built-up  Area,Ready To Move,6 Bedroom,Ganesh Peth,,3600,6,1,170
Built-up  Area,Ready To Move,2 BHK,Ganeshkhind,DLhtsen,943,2,2,48
Plot  Area,Ready To Move,2 Bedroom,Ghorpade Peth,,1150,2,1,170
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,VHinoel,1113,2,1,44.5
Super built-up  Area,20-Dec,3 BHK,Gokhale Nagar,Myple M,1615,3,2,69.43
Super built-up  Area,Ready To Move,2 BHK,Gultekdi,ETens G,1279,2,3,100
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,,1256,2,1,60
Built-up  Area,Ready To Move,3 BHK,Hadapsar,,1805,3,2,280
Built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,Suiseit,1350,3,1,65
Super built-up  Area,18-May,3 BHK,Hingne Khurd,,1525,3,2,68.63
Super built-up  Area,18-Aug,2 BHK,Jangali Maharaj Road,ProdsWe,1357,2,1,123
Super built-up  Area,19-Mar,3 BHK,Kalyani Nagar,Raard B,1645,3,2,117
Super built-up  Area,Ready To Move,3 BHK,Karve Nagar,SoystAm,1777.26,3,2,92
Super built-up  Area,Ready To Move,2 BHK,Karve Road,Prityel,845,2,2,32
Built-up  Area,Ready To Move,2 BHK,Kasba Peth,,900,2,0,25
Super built-up  Area,18-Sep,2 BHK,Katraj,Soamsay,1210,2,1,64.15
Super built-up  Area,19-Aug,2 BHK,Khadaki,,829,2,1,22.8
Super built-up  Area,Ready To Move,3 BHK,Khadki,Adeatlm,1879,3,2,155
Super built-up  Area,17-Jun,3 BHK,Kharadi,Collsrn,1250,2,2,50
Built-up  Area,Ready To Move,4 Bedroom,Kondhwa,,1200,2,2,35
Super built-up  Area,19-Mar,3 BHK,Kondhwa Budruk,Unezes ,1108,2,1,60
Super built-up  Area,18-Aug,3 BHK,Kondhwa Khurd,,1401,3,2,69
Super built-up  Area,19-Oct,3 BHK,Koregaon Park,AsastDe,1157,2,1,75
Built-up  Area,Ready To Move,2 BHK,Kothrud,SaaceSa,1185,2,1,42.66
Super built-up  Area,Ready To Move,3 BHK,Law College Road,Soweray,1751,3,2,115
Plot  Area,Ready To Move,5 Bedroom,Laxmi Road,,1550,3,1,250
Super built-up  Area,Ready To Move,3 BHK,Lulla Nagar,SNity S,1880,3,2,96.5
Super built-up  Area,20-Dec,3 BHK,Mahatma Gandhi Road,Somns T,1235 - 1410,3,0,40.985
Super built-up  Area,Ready To Move,2 BHK,Mangalwar peth,,1175,2,2,38
Built-up  Area,Ready To Move,2 BHK,Manik Bagh,Prensin,1407,2,1,98.49
Super built-up  Area,Ready To Move,2 BHK,Market yard,Shentnd,1000,2,2,50
Super built-up  Area,Ready To Move,3 BHK,Model colony,Briumri,1518,3,3,75
Plot  Area,Ready To Move,4 Bedroom,Mukund Nagar,,3600,4,2,300
Super built-up  Area,18-May,2 BHK,Mundhawa,Sahtsva,1027,2,1,67
Super built-up  Area,Ready To Move,4 BHK,Nagar Road,Soeurri,3730,6,2,430
Built-up  Area,Ready To Move,2 BHK,Nana Peth,NRosete,1145,2,2,46
Super built-up  Area,18-Aug,2 BHK,Narayan Peth,ProdsWe,1260,2,2,113
Super built-up  Area,Ready To Move,3 BHK,Narayangaon,Dhalsh ,1500,2,3,47.25
Super built-up  Area,Ready To Move,3 BHK,Navi Peth,DSingSt,1737,2,1,57.32
Super built-up  Area,18-Dec,4 BHK,Padmavati,Exitym ,3484 - 3550,,,161.5
Plot  Area,Ready To Move,3 Bedroom,Parvati Darshan,,1600,4,1,120
Built-up  Area,Ready To Move,3 BHK,Pashan,Sonosty,1500,3,2,135
Plot  Area,Ready To Move,2 Bedroom,Paud Road,,1120,2,0,60
Plot  Area,Ready To Move,3 Bedroom,Pirangut,,1200,4,1,240
Super built-up  Area,18-Dec,2 BHK,Prabhat Road,Inaxyga,1030,2,1,46.5
Built-up  Area,Ready To Move,6 Bedroom,Pune Railway Station,,2500,6,1,88
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,Sulya A,1057,2,1,35
Super built-up  Area,18-Dec,4 BHK,Raviwar Peth,Jaades ,2774,4,3,208
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,SLaceda,1460,2,2,38.5
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,ARureig,1075,2,1,53.7
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,,1080,2,1,60
Super built-up  Area,19-Dec,4 BHK,Sasson Road,Priesla,3626,5,3,788
Super built-up  Area,Ready To Move,6 BHK,Satara Road,,5100,7,,225
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,SLowse ,1139.7,2,1,45
Super built-up  Area,18-Jun,2 BHK,Shaniwar Peth,ARipsul,1074,2,1,42.8
Plot  Area,18-Jul,2 Bedroom,Shivaji Nagar,,1200,2,1,46.13
Super built-up  Area,Ready To Move,4 BHK,Shukrawar Peth,Puallhi,2425,5,1,175
Super built-up  Area,Ready To Move,2 BHK,Sinhagad Road,Maantr ,1323,2,2,74
Super built-up  Area,18-Aug,2 BHK,Somwar Peth,Puachal,1232,2,1,69.61
Super built-up  Area,Ready To Move,2 BHK,Swargate,Prmesi ,900,2,1,40
Super built-up  Area,Ready To Move,1 BHK,Tilak Road,Soe 2as,740,1,1,23.65
Super built-up  Area,18-Dec,3 BHK,Uruli Devachi,Mahosya,1920,3,2,134
Plot  Area,Ready To Move,1 Bedroom,Vadgaon Budruk,,38Guntha,1,0,170
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,SNity S,1550,3,2,96
Super built-up  Area,Ready To Move,3 BHK,Viman Nagar,MyhtsHe,1588,2,3,90
Built-up  Area,Ready To Move,3 Bedroom,Vishrant Wadi,,2300,4,1,240
Built-up  Area,Ready To Move,9 Bedroom,Wagholi,,3600,8,2,165
Built-up  Area,Ready To Move,2 BHK,Wakadewadi,,1308,2,1,86
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,MDncyhi,1340,2,2,54.27
Plot  Area,Ready To Move,10 Bedroom,Warje,,3280,9,3,450
Built-up  Area,Ready To Move,4 BHK,Yerawada,,2170,3,2,265
Super built-up  Area,Ready To Move,3 BHK,Alandi Road,Soitya ,1719,3,2,135
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,Maows M,1107.83,2,1,41.51
Plot  Area,18-Jul,2 Bedroom,Anandnagar,,1200,2,1,45.84
Built-up  Area,18-Dec,1 BHK,Aundh,,1090,2,1,31.48
Plot  Area,Ready To Move,5 Bedroom,Aundh Road,,1500,5,2,210
Super built-up  Area,18-Dec,3 BHK,Balaji Nagar,BrdgeNo,1660,3,2,104
Super built-up  Area,Ready To Move,2 BHK,Baner,K dotna,1247,2,1,58.56
Super built-up  Area,18-May,3 BHK,Baner road,Bhmesy ,1595,3,2,96
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,JaaldEm,1175,2,2,50
Plot  Area,Ready To Move,8 Bedroom,Bhavani Peth,,1200,8,,135
Super built-up  Area,Ready To Move,2 BHK,Bibvewadi,VSletes,1184,2,1,78
Super built-up  Area,Ready To Move,2 BHK,Bopodi,Srhan P,1100,2,2,55
Plot  Area,18-Apr,2 Bedroom,Budhwar Peth,,935,2,0,78
Built-up  Area,Ready To Move,2 BHK,Bund Garden Road,Niareum,1200,2,2,60
Plot  Area,Ready To Move,5 Bedroom,Camp,,2400,5,1,408
Super built-up  Area,Ready To Move,2 BHK,Chandan Nagar,,1000,2,1,45
Built-up  Area,Ready To Move,2 BHK,Dapodi,KBnnupu,1000,2,0,52
Super built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,Prensya,1705,3,2,85
Built-up  Area,Ready To Move,3 BHK,Dehu Road,Mairer ,1060,2,2,58.3
Plot  Area,Ready To Move,4 Bedroom,Dhankawadi,Theanmp,2325,4,1,120
Super built-up  Area,17-Mar,3 BHK,Dhayari Phata,DiiteR ,1347,2,2,55
Plot  Area,Ready To Move,8 Bedroom,Dhole Patil Road,,1200,8,3,250
Super built-up  Area,17-Dec,2 BHK,Erandwane,Unris E,1402,2,2,95
Super built-up  Area,18-Oct,3 BHK,Fatima Nagar,Prtates,2280,4,2,125
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,,1225,2,2,71.05
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,Maodser,1080,2,1,53
Built-up  Area,18-Apr,7 Bedroom,Ganeshkhind,,4000,7,,90
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,,1919,3,0,300
Built-up  Area,Ready To Move,2 BHK,Ghorpadi,Dhalsh ,1100,2,2,42.6
Super built-up  Area,Ready To Move,4 BHK,Gokhale Nagar,DSndsod,2500,4,3,225
Super built-up  Area,22-Jan,2 BHK,Gultekdi,PrarePa,1200,2,2,78
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,Dhalsh ,1565,2,2,57.91
Plot  Area,18-Apr,2 Bedroom,Hadapsar,,1200,3,0,78
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,,1581,3,3,76
Super built-up  Area,18-Dec,4 BHK,Hingne Khurd,Prtates,2882,5,1,200
Plot  Area,Ready To Move,5 Bedroom,Jangali Maharaj Road,,1440,5,2,97
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,RahtsHe,2180,3,3,273
Built-up  Area,Ready To Move,4 Bedroom,Karve Nagar,,7000,8,,450
Super built-up  Area,Ready To Move,2 BHK,Karve Road,SLtias ,985,2,1,38.92
Built-up  Area,Ready To Move,2 BHK,Kasba Peth,Sondaka,950,2,2,35
Super built-up  Area,Ready To Move,2 BHK,Katraj,,1339,2,2,55
Super built-up  Area,Ready To Move,3 BHK,Khadaki,Spity E,1449,3,1,72
Plot  Area,Ready To Move,4 Bedroom,Khadki,,1200,4,2,180
Super built-up  Area,18-May,2 BHK,Kharadi,,1100,2,2,38.68
Super built-up  Area,Ready To Move,2 BHK,Kondhwa,Soose P,929 - 1078,2,0,28.095
Built-up  Area,Ready To Move,3 Bedroom,Kondhwa Budruk,,2700,3,2,200
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Khurd,,1100,2,3,55
Built-up  Area,18-Dec,2 BHK,Koregaon Park,,1140,2,1,32.92
Plot  Area,Ready To Move,3 Bedroom,Kothrud,Prldsum,3009,3,2,330
Super built-up  Area,Ready To Move,8 BHK,Law College Road,,3300,8,3,310
Built-up  Area,Ready To Move,2 BHK,Laxmi Road,,800,1,2,30
Built-up  Area,Ready To Move,5 Bedroom,Lulla Nagar,,2000,4,0,65
Plot  Area,Ready To Move,4 Bedroom,Mahatma Gandhi Road,,1200,4,1,190
Built-up  Area,Ready To Move,2 BHK,Mangalwar peth,Icncy R,1300,2,3,95
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,Hahtsya,1220,2,2,60
Super built-up  Area,Ready To Move,3 BHK,Market yard,SoniaEt,2289,3,2,178
Super built-up  Area,18-Jan,2 BHK,Model colony,Suhamra,1170,2,1,56
Super built-up  Area,Ready To Move,2 BHK,Mukund Nagar,,1350,2,2,89.5
Super built-up  Area,Ready To Move,2 BHK,Mundhawa,Prrtht ,883,2,1,45
Built-up  Area,Ready To Move,3 BHK,Nagar Road,Soitya ,1698,3,2,125
Super built-up  Area,18-May,4 BHK,Nana Peth,SNbay G,2150 - 2225,4,0,105
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,,1060,2,1,58.5
Super built-up  Area,Ready To Move,2 BHK,Narayangaon,ManceEl,1185,2,2,75
Super built-up  Area,20-Dec,3 BHK,Navi Peth,SollyCl,2051,3,1,180
Super built-up  Area,Ready To Move,2 BHK,Padmavati,,1404,2,1,72
Super built-up  Area,Ready To Move,2 BHK,Parvati Darshan,Brods W,1252,2,1,67
Super built-up  Area,18-Mar,3 BHK,Pashan,,1885,3,1,125
Built-up  Area,Ready To Move,6 BHK,Paud Road,,3381,6,3,225
Super built-up  Area,Ready To Move,2 BHK,Pirangut,,980,2,2,42
Super built-up  Area,Ready To Move,3 BHK,Prabhat Road,PhestOn,2500,3,3,340
Super built-up  Area,19-Jan,3 BHK,Pune Railway Station,,1420,3,1,66
Plot  Area,Ready To Move,6 Bedroom,Rasta Peth,,1166,6,,135
Built-up  Area,Ready To Move,3 BHK,Raviwar Peth,,2312,3,2,156
Super built-up  Area,Ready To Move,4 BHK,Sadashiv Peth,Golmsoy,3000,4,,130
Built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,,1175,2,1,70
Super built-up  Area,Ready To Move,2 BHK,Salunke Vihar,,1145,2,2,51
Built-up  Area,Ready To Move,2 BHK,Sasson Road,Suwerlo,970,2,1,52.5
Built-up  Area,18-Dec,2 BHK,Satara Road,,1125,2,1,32.49
Super built-up  Area,19-Sep,3 BHK,Senapati Bapat Road,DSersus,1520 - 1759,3,0,92.63
Built-up  Area,Ready To Move,4 BHK,Shaniwar Peth,ImiteEl,5000,4,,300
Built-up  Area,Ready To Move,3 BHK,Shivaji Nagar,,2150,3,3,240
Super built-up  Area,18-Jul,3 BHK,Shukrawar Peth,ViistLa,1635,3,1,57
Built-up  Area,Ready To Move,3 Bedroom,Sinhagad Road,Femes S,3425,3,1,320
Built-up  Area,19-Mar,4 Bedroom,Somwar Peth,Gollela,2950,4,3,253
Super built-up  Area,18-Dec,1 BHK,Swargate,Vaniai ,1200,2,1,66
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,,1335,2,2,73.43
Super built-up  Area,Ready To Move,4 BHK,Uruli Devachi,Brium C,4450,6,0,449
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,IBityin,1166,2,1,64.08
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,PhestOn,2390,3,1,372
Super built-up  Area,Ready To Move,3 BHK,Viman Nagar,,1460,2,1,90
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,Daxir E,1690,3,3,50
Plot  Area,Ready To Move,4 Bedroom,Wagholi,,1386,3,2,93
Super built-up  Area,Ready To Move,2 BHK,Wakadewadi,,1090,2,2,32
Super built-up  Area,21-Dec,3 BHK,Wanowrie,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,Ready To Move,2 BHK,Warje,,1390,2,1,72
Built-up  Area,Ready To Move,2 BHK,Yerawada,DShtsow,1095,2,1,85.41
Super built-up  Area,19-Dec,1 BHK,Alandi Road,VBn 2lm,416,1,1,17.19
Super built-up  Area,Ready To Move,3 BHK,Ambegaon Budruk,,2400,2,3,50
Built-up  Area,Ready To Move,3 BHK,Anandnagar,NCs 2rj,1350,2,3,85
Built-up  Area,Ready To Move,3 BHK,Aundh,,1453,2,2,73
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Moity S,1226,2,1,65
Plot  Area,Ready To Move,4 Bedroom,Balaji Nagar,,784,2,2,165
Super built-up  Area,Ready To Move,3 BHK,Baner,Dhniail,1168,2,1,68
Super built-up  Area,19-Dec,3 BHK,Baner road,Mamespa,1776,3,2,124
Built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,CMionsy,1634,3,2,68
Plot  Area,Ready To Move,2 Bedroom,Bhavani Peth,,860,2,0,56
Plot  Area,Ready To Move,3 Bedroom,Bibvewadi,,2800,3,1,400
Super built-up  Area,Ready To Move,3 BHK,Bopodi,,1650,3,2,95
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Pae 1ov,1190,2,1,70
Super built-up  Area,18-Aug,2 BHK,Bund Garden Road,DSvvyx ,1133,2,1,33.99
Super built-up  Area,Ready To Move,3 BHK,Camp,AritaFe,1559,3,2,62
Plot  Area,Ready To Move,3 Bedroom,Chandan Nagar,,1448,4,0,118
Super built-up  Area,Ready To Move,4 BHK,Dapodi,Prowshi,6652,6,1,510
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,Prs 2hi,976,2,1,50
Plot  Area,Ready To Move,4 Bedroom,Dehu Road,,1350,4,3,240
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,,1590,2,2,54
Super built-up  Area,19-Dec,4 BHK,Dhayari Phata,Shestlo,2940,6,2,201
Built-up  Area,Ready To Move,3 BHK,Dhole Patil Road,NCarkna,1633,3,2,110
Super built-up  Area,18-Aug,2 BHK,Erandwane,ViistLa,1151,2,2,46
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,DSdorSp,1400,2,2,42
Super built-up  Area,17-Apr,2 BHK,Fergusson College Road,DSera S,1037,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,SLaceda,1188,2,1,36
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,Amnavdr,1060,2,1,52
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,Prtanha,2215,4,2,162
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,,1255,2,2,54.5
Plot  Area,Ready To Move,3 Bedroom,Gokhale Nagar,,2500,2,1,300
Super built-up  Area,Ready To Move,2 BHK,Gultekdi,ARureig,1075,2,1,53.7
Super built-up  Area,17-Apr,4 BHK,Guruwar peth,Prncyrn,2569,5,3,180
Super built-up  Area,18-Dec,2 BHK,Hadapsar,,900,2,1,27
Super built-up  Area,18-Aug,2 BHK,Hadapsar Industrial Estate,Sanzaat,1183,2,1,79.54
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Veyal V,1100,2,2,44
Super built-up  Area,Ready To Move,3 BHK,Jangali Maharaj Road,,1643,2,2,70
Super built-up  Area,Ready To Move,3 BHK,Kalyani Nagar,,1500,2,2,120
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,HRaniIb,1291,2,1,75
Plot  Area,17-Oct,3 Bedroom,Karve Road,,1150,3,2,80
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,GMown E,1060,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Katraj,Eladero,1575,2,2,110
Plot  Area,Ready To Move,5 Bedroom,Khadaki,,1200,4,1,160
Built-up  Area,Ready To Move,4 Bedroom,Khadki,,1700,3,2,55
Super built-up  Area,Ready To Move,2 BHK,Kharadi,Neisei ,1236,2,1,58
Built-up  Area,Ready To Move,3 BHK,Kondhwa,,1350,2,2,39
Super built-up  Area,Ready To Move,3 BHK,Kondhwa Budruk,Sariaat,2475,4,3,326
Built-up  Area,Ready To Move,6 Bedroom,Kondhwa Khurd,,3800,6,,175
Built-up  Area,Ready To Move,4 BHK,Koregaon Park,Oznzaes,4694,5,,375
Built-up  Area,18-Dec,2 BHK,Kothrud,,1200,2,1,34.66
Plot  Area,Ready To Move,4 Bedroom,Law College Road,,1200,4,1,75
Built-up  Area,Ready To Move,2 BHK,Laxmi Road,,1225,2,2,56
Super built-up  Area,18-Apr,2 BHK,Lulla Nagar,Bhmesy ,1056,2,1,75
Super built-up  Area,18-Jun,3 BHK,Mahatma Gandhi Road,,1240,2,2,42.85
Super built-up  Area,17-Oct,3 BHK,Mangalwar peth,,1200,3,2,74.52
Super built-up  Area,18-Dec,3 BHK,Manik Bagh,Sanzaat,1850,3,2,110
Super built-up  Area,Ready To Move,4 BHK,Market yard,IDldsin,3150,4,3,180
Built-up  Area,Ready To Move,1 Bedroom,Model colony,,1200,1,0,39.82
Plot  Area,Ready To Move,4 Bedroom,Mukund Nagar,,1018,4,1,150
Built-up  Area,Ready To Move,5 Bedroom,Mundhawa,,3520,6,1,460
Super built-up  Area,18-Jul,3 BHK,Nagar Road,SunceEs,1185,2,2,30.22
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,DLhtsan,918,2,2,56
Super built-up  Area,Ready To Move,3 BHK,Narayan Peth,,1330,2,2,68
Built-up  Area,Ready To Move,3 BHK,Narayangaon,Raisys ,1540,2,3,70
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,RothaVa,1200,2,2,80
Super built-up  Area,18-Dec,2 BHK,Padmavati,,927,2,2,37
Built-up  Area,19-Jun,4 Bedroom,Parvati Darshan,Caonand,2580 - 2591,4,0,115
Super built-up  Area,Ready To Move,3 BHK,Pashan,,1400,2,2,78
Super built-up  Area,Ready To Move,2 BHK,Paud Road,Saageat,1345,2,2,106
Built-up  Area,Ready To Move,4 Bedroom,Pirangut,,1900,3,1,400
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,HMityld,1510,2,3,80
Super built-up  Area,Ready To Move,2 BHK,Pune Railway Station,,302,2,1,25
Super built-up  Area,21-Dec,1 BHK,Rasta Peth,PrarePa,525,,,27
Plot  Area,18-Aug,3 Bedroom,Raviwar Peth,,1500,3,1,61.52
Super built-up  Area,19-Dec,1 BHK,Sadashiv Peth,Goues A,629 - 1026,1,0,42.535
Super built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,,1100,2,2,72
Built-up  Area,Ready To Move,3 Bedroom,Salunke Vihar,,1200,3,1,68
Super built-up  Area,21-Dec,3 BHK,Sasson Road,PrarePa,1100,3,2,53
Carpet  Area,19-Jun,4 BHK,Satara Road,Kolisl ,2282,4,0,115
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,760,2,1,37.49
Plot  Area,Ready To Move,3 Bedroom,Shaniwar Peth,Corix B,2172,3,0,100
Super built-up  Area,Ready To Move,6 BHK,Shivaji Nagar,Essic C,3800,6,,390
Plot  Area,Ready To Move,4 Bedroom,Shukrawar Peth,BaisePa,600,2,1,72
Super built-up  Area,Ready To Move,3 BHK,Sinhagad Road,,3300,3,2,165
Super built-up  Area,19-Mar,3 BHK,Somwar Peth,,1242,3,1,51
Plot  Area,Ready To Move,1 Bedroom,Swargate,,410,1,1,48
Super built-up  Area,Ready To Move,3 BHK,Tilak Road,SLnssPr,1245,2,2,43.58
Built-up  Area,Ready To Move,2 BHK,Uruli Devachi,,1088,2,2,44
Built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,VincyRe,1200,2,0,46
Plot  Area,Ready To Move,3 Bedroom,Wadgaon Sheri,,1995,3,1,100
Super built-up  Area,Ready To Move,2 BHK,Viman Nagar,,1309,2,1,82
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,,1717,3,2,200
Super built-up  Area,Ready To Move,3 BHK,Wagholi,BriumMi,2100,3,2,200
Plot  Area,Ready To Move,2 Bedroom,Wakadewadi,,880,1,0,90
Plot  Area,Ready To Move,6 Bedroom,Wanowrie,,1200,6,1,95
Super built-up  Area,18-Aug,3 BHK,Warje,,1250,3,2,42
Super built-up  Area,Ready To Move,3 BHK,Yerawada,Brium C,3520,5,2,240
Super built-up  Area,Ready To Move,2 BHK,Alandi Road,Mangsr ,1041,2,2,54
Super built-up  Area,Ready To Move,3 BHK,Ambegaon Budruk,Shthi S,1505,2,2,60
Super built-up  Area,18-Jul,3 BHK,Anandnagar,Mamespa,1776,3,2,150
Super built-up  Area,Ready To Move,3 BHK,Aundh,OriewLa,1767,3,2,89
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Almid P,1293,2,2,80
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,,1320,2,1,50
